FiscalYear,State,Pollutant,AssessmentUnitId
2014,MN,"PHOSPHORUS, TOTAL",MN58-0119-00
2014,MN,SEDIMENT,MN07030004-566
2014,MN,ESCHERICHIA COLI (E. COLI),MN07030004-566
2014,MN,"PHOSPHORUS, TOTAL",MN58-0142-00
2014,MN,ESCHERICHIA COLI (E. COLI),MN07030004-567
2020,MN,"PHOSPHORUS, TOTAL",MN07020012-839
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-839
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-714
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-519
2020,MN,"PHOSPHORUS, TOTAL",MN27-0078-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-716
2020,MN,"PHOSPHORUS, TOTAL",MN10-0013-00
2020,MN,"PHOSPHORUS, TOTAL",MN72-0013-00
2020,MN,"PHOSPHORUS, TOTAL",MN70-0022-00
2020,MN,"PHOSPHORUS, TOTAL",MN70-0069-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-550
2020,MN,"PHOSPHORUS, TOTAL",MN66-0061-00
2020,MN,"PHOSPHORUS, TOTAL",MN07020012-513
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-513
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-513
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-832
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-713
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-834
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-756
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-558
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-753
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-830
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-555
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-511
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-511
2020,MN,"PHOSPHORUS, TOTAL",MN07020012-806
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-809
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-528
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-725
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-527
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-804
2020,MN,"PHOSPHORUS, TOTAL",MN10-0014-00
2020,MN,"PHOSPHORUS, TOTAL",MN27-0048-00
2020,MN,"PHOSPHORUS, TOTAL",MN27-0136-00
2020,MN,"PHOSPHORUS, TOTAL",MN10-0031-00
2020,MN,"PHOSPHORUS, TOTAL",MN70-0029-00
2020,MN,"PHOSPHORUS, TOTAL",MN72-0042-00
2020,MN,"PHOSPHORUS, TOTAL",MN70-0098-00
2020,MN,"PHOSPHORUS, TOTAL",MN10-0216-00
2020,MN,"PHOSPHORUS, TOTAL",MN40-0027-00
2020,MN,"PHOSPHORUS, TOTAL",MN07020012-843
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-568
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-842
2020,MN,"PHOSPHORUS, TOTAL",MN70-0052-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-526
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-602
2020,MN,"PHOSPHORUS, TOTAL",MN40-0079-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-761
2020,MN,"PHOSPHORUS, TOTAL",MN10-0080-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-565
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-840
2020,MN,"PHOSPHORUS, TOTAL",MN07020012-840
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-521
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-817
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-817
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-619
2020,MN,"PHOSPHORUS, TOTAL",MN70-0120-01
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-538
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-618
2020,MN,"PHOSPHORUS, TOTAL",MN40-0028-00
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-815
2020,MN,"PHOSPHORUS, TOTAL",MN27-0028-01
2020,MN,"PHOSPHORUS, TOTAL",MN27-0028-02
2020,MN,"PHOSPHORUS, TOTAL",MN72-0089-00
2020,MN,"PHOSPHORUS, TOTAL",MN66-0063-00
2020,MN,"PHOSPHORUS, TOTAL",MN27-0092-00
2020,MN,"PHOSPHORUS, TOTAL",MN40-0020-00
2020,MN,"PHOSPHORUS, TOTAL",MN10-0217-00
2020,MN,"PHOSPHORUS, TOTAL",MN70-0076-00
2020,MN,"PHOSPHORUS, TOTAL",MN10-0001-00
2020,MN,CHLORIDE,MN07020012-811
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-811
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-575
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-575
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-533
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-653
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-509
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-828
2020,MN,"PHOSPHORUS, TOTAL",MN27-0029-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-907
2020,MN,"PHOSPHORUS, TOTAL",MN10-0058-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-824
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-629
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-749
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-628
2020,MN,"PHOSPHORUS, TOTAL",MN10-0218-00
2020,MN,"PHOSPHORUS, TOTAL",MN27-0004-00
2020,MN,"PHOSPHORUS, TOTAL",MN72-0050-01
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-581
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-581
2020,MN,"PHOSPHORUS, TOTAL",MN66-0062-00
2020,MN,"PHOSPHORUS, TOTAL",MN27-0091-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-746
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-548
2020,MN,"PHOSPHORUS, TOTAL",MN10-0002-00
2020,MN,"PHOSPHORUS, TOTAL",MN10-0006-00
2020,MN,ESCHERICHIA COLI (E. COLI),MN07020012-621
2020,MN,TOTAL SUSPENDED SOLIDS (TSS),MN07020012-588
2011,MN,"PHOSPHORUS, TOTAL",MN19-0027-00
2011,MN,"PHOSPHORUS, TOTAL",MN19-0029-00
2011,MN,"PHOSPHORUS, TOTAL",MN19-0025-00
2012,MN,OXYGEN DEMAND,MN07010206-527
2012,MN,OXYGEN DEMAND,MN07010206-506
2012,MN,"PHOSPHORUS, TOTAL",MN05-0013-00
2012,MN,"PHOSPHORUS, TOTAL",MN70-0050-00
2012,MN,"PHOSPHORUS, TOTAL",MN70-0091-00
2018,MN,"PHOSPHORUS, TOTAL",MN31-0913-00
2019,MN,ESCHERICHIA COLI (E. COLI),MN09020306-520
2019,MN,ESCHERICHIA COLI (E. COLI),MN09020306-515
2019,MN,ESCHERICHIA COLI (E. COLI),MN09020306-519
2008,MN,TOTAL SUSPENDED SOLIDS (TSS),MN10170203-527
2008,MN,FECAL COLIFORM,MN10170203-527
2008,MN,FECAL COLIFORM,MN10170203-514
2008,MN,TOTAL SUSPENDED SOLIDS (TSS),MN10170203-514
2008,MN,FECAL COLIFORM,MN10170203-501
2008,MN,TOTAL SUSPENDED SOLIDS (TSS),MN10170203-501
2008,MN,MERCURY,MN07030004-523
2008,MN,MERCURY,MN29-0146-00
2008,MN,MERCURY,MN38-0644-00
2008,MN,MERCURY,MN38-0810-00
2008,MN,MERCURY,MN69-0755-00
2008,MN,MERCURY,MN69-0841-00
2008,MN,MERCURY,MN38-0220-00
2008,MN,MERCURY,MN16-0378-00
2008,MN,MERCURY,MN16-0114-00
2008,MN,MERCURY,MN31-0722-00
2008,MN,MERCURY,MN38-0432-00
2008,MN,MERCURY,MN38-0673-00
2008,MN,MERCURY,MN18-0305-00
2008,MN,MERCURY,MN38-0232-00
2008,MN,MERCURY,MN11-0411-00
2008,MN,MERCURY,MN03-0158-00
2008,MN,MERCURY,MN31-0028-00
2008,MN,MERCURY,MN69-0796-00
2008,MN,MERCURY,MN16-0373-00
2008,MN,MERCURY,MN18-0088-00
2008,MN,MERCURY,MN18-0145-00
2008,MN,MERCURY,MN04-0053-00
2008,MN,MERCURY,MN16-0119-00
2008,MN,MERCURY,MN31-0786-00
2008,MN,MERCURY,MN16-0337-00
2008,MN,MERCURY,MN69-0464-00
2008,MN,MERCURY,MN38-0491-00
2008,MN,MERCURY,MN48-0012-00
2008,MN,MERCURY,MN07010106-516
2008,MN,MERCURY,MN07010106-514
2008,MN,MERCURY,MN07010106-515
2008,MN,MERCURY,MN07010106-523
2008,MN,MERCURY,MN29-0036-02
2008,MN,MERCURY,MN29-0036-01
2008,MN,MERCURY,MN01-0093-00
2008,MN,MERCURY,MN18-0310-00
2008,MN,MERCURY,MN11-0120-02
2008,MN,MERCURY,MN11-0120-01
2008,MN,MERCURY,MN16-0252-00
2008,MN,MERCURY,MN58-0130-00
2008,MN,MERCURY,MN58-0067-00
2008,MN,MERCURY,MN16-0034-00
2008,MN,MERCURY,MN38-0404-00
2008,MN,MERCURY,MN07030004-508
2008,MN,MERCURY,MN31-0069-00
2008,MN,MERCURY,MN31-0429-00
2008,MN,MERCURY,MN16-0023-00
2008,MN,MERCURY,MN69-0114-00
2008,MN,MERCURY,MN38-0047-00
2008,MN,MERCURY,MN11-0383-00
2008,MN,MERCURY,MN69-1306-00
2008,MN,MERCURY,MN16-0360-00
2008,MN,MERCURY,MN69-0491-01
2008,MN,MERCURY,MN04-0111-00
2008,MN,MERCURY,MN69-0491-02
2008,MN,MERCURY,MN16-0354-00
2008,MN,MERCURY,MN16-0723-00
2008,MN,MERCURY,MN18-0117-00
2008,MN,MERCURY,MN69-0591-00
2008,MN,MERCURY,MN31-0156-00
2008,MN,MERCURY,MN03-0010-00
2008,MN,MERCURY,MN29-0242-00
2008,MN,MERCURY,MN16-0454-00
2008,MN,MERCURY,MN16-0036-00
2008,MN,MERCURY,MN16-0227-00
2008,MN,MERCURY,MN29-0071-00
2008,MN,MERCURY,MN69-0662-00
2008,MN,MERCURY,MN38-0351-00
2008,MN,MERCURY,MN69-0842-00
2008,MN,MERCURY,MN11-0146-00
2008,MN,MERCURY,MN16-0042-00
2008,MN,MERCURY,MN18-0403-00
2008,MN,MERCURY,MN38-0229-00
2008,MN,MERCURY,MN18-0308-00
2008,MN,MERCURY,MN16-0228-00
2008,MN,MERCURY,MN69-0799-00
2008,MN,MERCURY,MN69-0011-00
2008,MN,MERCURY,MN16-0135-00
2008,MN,MERCURY,MN69-0859-01
2008,MN,MERCURY,MN69-0859-02
2008,MN,MERCURY,MN09-0029-00
2008,MN,MERCURY,MN07010207-583
2008,MN,MERCURY,MN16-0196-00
2008,MN,MERCURY,MN16-0041-00
2008,MN,MERCURY,MN07010207-585
2008,MN,MERCURY,MN16-0768-00
2008,MN,MERCURY,MN38-0538-00
2008,MN,MERCURY,MN16-0245-00
2008,MN,MERCURY,MN31-0111-00
2008,MN,MERCURY,MN18-0034-00
2008,MN,MERCURY,MN16-0191-00
2008,MN,MERCURY,MN69-0248-00
2008,MN,MERCURY,MN01-0033-00
2008,MN,MERCURY,MN01-0142-01
2008,MN,MERCURY,MN15-0016-00
2008,MN,MERCURY,MN01-0142-02
2008,MN,MERCURY,MN15-0068-00
2008,MN,MERCURY,MN16-0358-00
2008,MN,MERCURY,MN69-0901-00
2008,MN,MERCURY,MN38-0550-00
2008,MN,MERCURY,MN11-0174-00
2008,MN,MERCURY,MN38-0715-00
2008,MN,MERCURY,MN16-0496-00
2008,MN,MERCURY,MN16-0232-00
2008,MN,MERCURY,MN01-0062-00
2008,MN,MERCURY,MN38-0635-00
2008,MN,MERCURY,MN69-0339-00
2008,MN,MERCURY,MN29-0092-00
2008,MN,MERCURY,MN16-0250-00
2008,MN,MERCURY,MN69-0083-00
2008,MN,MERCURY,MN11-0283-00
2008,MN,MERCURY,MN16-0571-00
2008,MN,MERCURY,MN16-0128-00
2008,MN,MERCURY,MN69-0832-00
2008,MN,MERCURY,MN38-0532-00
2008,MN,MERCURY,MN04-0135-00
2008,MN,MERCURY,MN38-0372-00
2008,MN,MERCURY,MN15-0079-00
2008,MN,MERCURY,MN38-0630-00
2008,MN,MERCURY,MN01-0096-00
2008,MN,MERCURY,MN16-0805-00
2008,MN,MERCURY,MN07010103-506
2008,MN,MERCURY,MN69-1345-00
2008,MN,MERCURY,MN11-0505-00
2008,MN,MERCURY,MN16-0645-00
2008,MN,MERCURY,MN69-0994-00
2008,MN,MERCURY,MN11-0415-00
2008,MN,MERCURY,MN31-0913-00
2008,MN,MERCURY,MN16-0192-00
2008,MN,MERCURY,MN38-0675-00
2008,MN,MERCURY,MN38-0064-00
2008,MN,MERCURY,MN11-0304-02
2008,MN,MERCURY,MN16-0382-00
2008,MN,MERCURY,MN11-0304-01
2008,MN,MERCURY,MN16-0489-00
2008,MN,MERCURY,MN03-0286-00
2008,MN,MERCURY,MN18-0372-00
2008,MN,MERCURY,MN16-0071-00
2008,MN,MERCURY,MN69-0001-00
2008,MN,MERCURY,MN16-0753-00
2008,MN,MERCURY,MN01-0209-01
2008,MN,MERCURY,MN01-0209-03
2008,MN,MERCURY,MN01-0209-02
2008,MN,MERCURY,MN38-0670-00
2008,MN,MERCURY,MN04-0048-00
2008,MN,MERCURY,MN18-0373-00
2008,MN,MERCURY,MN09030001-656
2008,MN,MERCURY,MN16-0188-00
2008,MN,MERCURY,MN69-0373-00
2008,MN,MERCURY,MN07010106-501
2008,MN,MERCURY,MN31-0620-00
2008,MN,MERCURY,MN38-0568-00
2008,MN,MERCURY,MN49-0016-00
2008,MN,MERCURY,MN29-0185-00
2008,MN,MERCURY,MN18-0312-00
2008,MN,MERCURY,MN09020303-508
2008,MN,MERCURY,MN11-0250-00
2008,MN,MERCURY,MN16-0194-00
2008,MN,MERCURY,MN69-0117-00
2008,MN,MERCURY,MN69-0278-00
2008,MN,MERCURY,MN29-0180-00
2008,MN,MERCURY,MN07010106-509
2008,MN,MERCURY,MN69-0736-00
2008,MN,MERCURY,MN07010106-507
2008,MN,MERCURY,MN07010106-508
2008,MN,MERCURY,MN07010106-506
2008,MN,MERCURY,MN07010106-512
2008,MN,MERCURY,MN11-0502-00
2008,MN,MERCURY,MN07010106-513
2008,MN,MERCURY,MN11-0203-01
2008,MN,MERCURY,MN11-0203-02
2008,MN,MERCURY,MN11-0203-03
2008,MN,MERCURY,MN11-0167-00
2008,MN,MERCURY,MN11-0203-04
2008,MN,MERCURY,MN18-0212-00
2008,MN,MERCURY,MN16-0380-00
2008,MN,MERCURY,MN04-0132-01
2008,MN,MERCURY,MN04-0132-02
2008,MN,MERCURY,MN04-0329-00
2008,MN,MERCURY,MN31-0532-02
2008,MN,MERCURY,MN48-0002-00
2008,MN,MERCURY,MN31-0532-01
2008,MN,MERCURY,MN01-0182-00
2008,MN,MERCURY,MN09030001-512
2008,MN,MERCURY,MN16-0049-00
2008,MN,MERCURY,MN38-0784-00
2008,MN,MERCURY,MN69-0455-00
2008,MN,MERCURY,MN15-0081-00
2008,MN,MERCURY,MN69-0285-03
2008,MN,MERCURY,MN69-0002-00
2008,MN,MERCURY,MN16-0143-00
2008,MN,MERCURY,MN31-0334-00
2008,MN,MERCURY,MN31-0439-00
2008,MN,MERCURY,MN07010207-506
2008,MN,MERCURY,MN29-0216-00
2008,MN,MERCURY,MN29-0250-00
2008,MN,MERCURY,MN69-0840-00
2008,MN,MERCURY,MN16-0369-00
2008,MN,MERCURY,MN01-0159-00
2008,MN,MERCURY,MN69-0582-00
2008,MN,MERCURY,MN03-0107-00
2019,MN,TOTAL SUSPENDED SOLIDS (TSS),MN04010102-840
2019,MN,TOTAL SUSPENDED SOLIDS (TSS),MN04010102-555
2019,MN,TOTAL SUSPENDED SOLIDS (TSS),MN04010102-698
2019,MN,TOTAL SUSPENDED SOLIDS (TSS),MN04010102-501
2019,MN,TOTAL SUSPENDED SOLIDS (TSS),MN04010102-508
2019,MN,ESCHERICHIA COLI (E. COLI),MN04010102-528
2019,MN,TOTAL SUSPENDED SOLIDS (TSS),MN04010102-528
2008,MN,MERCURY,MN07040002-508
2008,MN,MERCURY,MN82-0163-00
2008,MN,MERCURY,MN07040002-509
2008,MN,MERCURY,MN07010106-510
2008,MN,MERCURY,MN07040002-507
2008,MN,MERCURY,MN26-0002-00
2008,MN,MERCURY,MN07010106-511
2008,MN,MERCURY,MN34-0171-00
2008,MN,MERCURY,MN73-0157-00
2008,MN,MERCURY,MN56-0310-00
2008,MN,MERCURY,MN56-0379-00
2008,MN,MERCURY,MN56-0786-00
2008,MN,MERCURY,MN56-0385-00
2008,MN,MERCURY,MN10-0052-00
2008,MN,MERCURY,MN21-0076-00
2008,MN,MERCURY,MN70-0026-00
2008,MN,MERCURY,MN86-0217-00
2008,MN,MERCURY,MN34-0044-00
2008,MN,MERCURY,MN55-0003-00
2008,MN,MERCURY,MN21-0145-00
2008,MN,MERCURY,MN70-0072-00
2008,MN,MERCURY,MN13-0068-00
2008,MN,MERCURY,MN21-0053-00
2008,MN,MERCURY,MN10-0041-00
2008,MN,MERCURY,MN02-0004-00
2008,MN,MERCURY,MN03-0381-00
2008,MN,MERCURY,MN34-0251-00
2008,MN,MERCURY,MN62-0007-00
2008,MN,MERCURY,MN82-0054-00
2008,MN,MERCURY,MN19-0136-00
2008,MN,MERCURY,MN07020004-575
2008,MN,MERCURY,MN07020007-505
2008,MN,MERCURY,MN07020007-506
2008,MN,MERCURY,MN21-0083-00
2008,MN,MERCURY,MN07020007-507
2008,MN,MERCURY,MN07020007-508
2008,MN,MERCURY,MN03-0582-00
2008,MN,MERCURY,MN07020007-501
2008,MN,MERCURY,MN34-0154-00
2008,MN,MERCURY,MN07010207-509
2008,MN,MERCURY,MN07020007-502
2008,MN,MERCURY,MN07020007-503
2008,MN,MERCURY,MN07020007-504
2008,MN,MERCURY,MN07010207-504
2008,MN,MERCURY,MN07020006-501
2008,MN,MERCURY,MN07020007-509
2008,MN,MERCURY,MN07010207-502
2008,MN,MERCURY,MN07010207-503
2008,MN,MERCURY,MN71-0081-00
2008,MN,MERCURY,MN07010207-510
2008,MN,MERCURY,MN13-0069-01
2008,MN,MERCURY,MN13-0069-02
2008,MN,MERCURY,MN86-0293-00
2008,MN,MERCURY,MN61-0130-00
2008,MN,MERCURY,MN07020007-510
2008,MN,MERCURY,MN07020007-511
2008,MN,MERCURY,MN66-0055-00
2008,MN,MERCURY,MN81-0015-00
2008,MN,MERCURY,MN19-0003-00
2008,MN,MERCURY,MN27-0133-08
2008,MN,MERCURY,MN70-0095-00
2008,MN,MERCURY,MN27-0133-07
2008,MN,MERCURY,MN27-0133-06
2008,MN,MERCURY,MN62-0002-00
2008,MN,MERCURY,MN27-0133-05
2008,MN,MERCURY,MN07020007-512
2008,MN,MERCURY,MN62-0237-00
2008,MN,MERCURY,MN56-0781-00
2008,MN,MERCURY,MN07020007-514
2008,MN,MERCURY,MN27-0133-09
2008,MN,MERCURY,MN47-0023-00
2008,MN,MERCURY,MN41-0110-00
2008,MN,MERCURY,MN22-0074-00
2008,MN,MERCURY,MN43-0085-03
2008,MN,MERCURY,MN07010207-511
2008,MN,MERCURY,MN43-0085-02
2008,MN,MERCURY,MN07010207-512
2008,MN,MERCURY,MN43-0085-01
2008,MN,MERCURY,MN50-0002-00
2008,MN,MERCURY,MN27-0076-00
2008,MN,MERCURY,MN86-0279-00
2008,MN,MERCURY,MN56-0877-00
2008,MN,MERCURY,MN07010202-501
2008,MN,MERCURY,MN07010202-502
2008,MN,MERCURY,MN27-0133-04
2008,MN,MERCURY,MN27-0133-03
2008,MN,MERCURY,MN27-0133-02
2008,MN,MERCURY,MN27-0133-01
2008,MN,MERCURY,MN41-0067-00
2008,MN,MERCURY,MN07010202-507
2008,MN,MERCURY,MN07010202-508
2008,MN,MERCURY,MN07020004-511
2008,MN,MERCURY,MN07010202-505
2008,MN,MERCURY,MN56-0747-01
2008,MN,MERCURY,MN07010202-506
2008,MN,MERCURY,MN27-0071-00
2008,MN,MERCURY,MN32-0018-00
2008,MN,MERCURY,MN62-0057-00
2008,MN,MERCURY,MN86-0227-00
2008,MN,MERCURY,MN34-0066-00
2008,MN,MERCURY,MN70-0010-00
2008,MN,MERCURY,MN07-0096-00
2008,MN,MERCURY,MN33-0036-00
2008,MN,MERCURY,MN07020004-506
2008,MN,MERCURY,MN07020004-507
2008,MN,MERCURY,MN07020004-504
2008,MN,MERCURY,MN07020004-505
2008,MN,MERCURY,MN07020004-509
2008,MN,MERCURY,MN56-0031-00
2008,MN,MERCURY,MN05-0007-00
2008,MN,MERCURY,MN56-0945-00
2008,MN,FISH CONSUMPTION ADVISORY - MERCURY,MN07020004-520
2008,MN,MERCURY,MN07010202-519
2008,MN,MERCURY,MN86-0288-00
2008,MN,MERCURY,MN07010202-517
2008,MN,MERCURY,MN47-0046-00
2008,MN,MERCURY,MN05-0013-00
2008,MN,MERCURY,MN27-0104-00
2008,MN,MERCURY,MN73-0138-00
2008,MN,MERCURY,MN86-0273-00
2008,MN,MERCURY,MN07020004-517
2008,MN,MERCURY,MN07020004-515
2008,MN,MERCURY,MN07020004-516
2008,MN,MERCURY,MN81-0014-00
2008,MN,MERCURY,MN07020004-519
2008,MN,MERCURY,MN07010202-520
2008,MN,MERCURY,MN17-0003-00
2008,MN,MERCURY,MN86-0023-00
2008,MN,MERCURY,MN27-0176-00
2008,MN,MERCURY,MN09020303-509
2008,MN,MERCURY,MN60-0305-00
2008,MN,MERCURY,MN34-0022-00
2008,MN,MERCURY,MN27-0038-00
2008,MN,MERCURY,MN21-0054-00
2008,MN,MERCURY,MN82-0159-00
2008,MN,MERCURY,MN09020303-501
2008,MN,MERCURY,MN46-0133-00
2008,MN,MERCURY,MN09020303-502
2008,MN,MERCURY,MN07-0079-00
2008,MN,MERCURY,MN70-0054-00
2008,MN,MERCURY,MN09020303-503
2008,MN,MERCURY,MN09020303-504
2008,MN,MERCURY,MN43-0084-00
2008,MN,MERCURY,MN09020303-506
2008,MN,MERCURY,MN09020303-510
2008,MN,MERCURY,MN45-0119-00
2008,MN,MERCURY,MN62-0046-00
2008,MN,MERCURY,MN10-0121-00
2008,MN,MERCURY,MN30-0136-00
2008,MN,MERCURY,MN09020303-511
2008,MN,MERCURY,MN09020303-512
2008,MN,MERCURY,MN09020303-513
2008,MN,MERCURY,MN07010207-555
2008,MN,MERCURY,MN07010207-556
2008,MN,MERCURY,MN56-0658-00
2008,MN,MERCURY,MN07040002-582
2008,MN,MERCURY,MN07040002-581
2008,MN,MERCURY,MN70-0120-01
2008,MN,MERCURY,MN56-0613-00
2008,MN,MERCURY,MN70-0120-02
2008,MN,MERCURY,MN73-0055-00
2008,MN,MERCURY,MN02-0133-00
2008,MN,MERCURY,MN56-0130-00
2008,MN,MERCURY,MN07040008-530
2008,MN,MERCURY,MN77-0181-00
2008,MN,MERCURY,MN86-0289-00
2008,MN,MERCURY,MN07020001-502
2008,MN,MERCURY,MN66-0047-00
2008,MN,MERCURY,MN07020001-503
2008,MN,MERCURY,MN07020001-506
2008,MN,MERCURY,MN47-0015-00
2008,MN,MERCURY,MN07040008-528
2008,MN,MERCURY,MN47-0038-00
2008,MN,MERCURY,MN62-0067-00
2008,MN,MERCURY,MN02-0053-00
2008,MN,MERCURY,MN07010202-557
2008,MN,MERCURY,MN86-0140-00
2008,MN,MERCURY,MN07030004-587
2008,MN,MERCURY,MN56-0238-00
2008,MN,MERCURY,MN07040004-509
2008,MN,MERCURY,MN07030004-586
2008,MN,MERCURY,MN21-0080-00
2008,MN,MERCURY,MN07020005-503
2008,MN,MERCURY,MN02-0042-00
2008,MN,MERCURY,MN27-0037-00
2008,MN,MERCURY,MN07020005-504
2008,MN,MERCURY,MN07020005-505
2008,MN,MERCURY,MN07020005-506
2008,MN,MERCURY,MN07020005-507
2008,MN,MERCURY,MN07020005-508
2008,MN,MERCURY,MN62-0038-01
2008,MN,MERCURY,MN56-0141-00
2008,MN,MERCURY,MN61-0149-00
2008,MN,MERCURY,MN07040008-534
2008,MN,MERCURY,MN07040008-532
2008,MN,MERCURY,MN37-0046-02
2008,MN,MERCURY,MN26-0097-00
2008,MN,MERCURY,MN37-0046-01
2008,MN,MERCURY,MN27-0019-00
2008,MN,MERCURY,MN27-0067-00
2008,MN,MERCURY,MN47-0026-00
2008,MN,MERCURY,MN07020004-612
2008,MN,MERCURY,MN10-0048-00
2008,MN,MERCURY,MN07020004-613
2008,MN,MERCURY,MN27-0073-00
2008,MN,MERCURY,MN56-0829-00
2008,MN,MERCURY,MN62-0055-00
2008,MN,MERCURY,MN86-0090-00
2008,MN,MERCURY,MN62-0016-00
2008,MN,MERCURY,MN21-0106-02
2008,MN,MERCURY,MN21-0106-01
2008,MN,MERCURY,MN56-0142-00
2008,MN,MERCURY,MN07040008-506
2008,MN,MERCURY,MN40-0031-00
2008,MN,MERCURY,MN21-0049-00
2008,MN,MERCURY,MN07040004-541
2008,MN,MERCURY,MN77-0084-01
2008,MN,MERCURY,MN77-0084-02
2008,MN,MERCURY,MN56-0387-00
2008,MN,MERCURY,MN07040008-505
2008,MN,MERCURY,MN07040004-542
2008,MN,MERCURY,MN70-0022-00
2008,MN,MERCURY,MN43-0012-00
2008,MN,MERCURY,MN07020004-501
2008,MN,MERCURY,MN86-0053-00
2008,MN,MERCURY,MN27-0014-00
2008,MN,MERCURY,MN47-0119-00
2008,MN,MERCURY,MN27-0192-00
2008,MN,MERCURY,MN21-0092-00
2008,MN,MERCURY,MN77-0215-00
2008,MN,MERCURY,MN34-0217-00
2008,MN,MERCURY,MN21-0123-00
2008,MN,MERCURY,MN07020012-507
2008,MN,MERCURY,MN07020006-513
2008,MN,MERCURY,MN27-0133-11
2008,MN,MERCURY,MN27-0133-10
2008,MN,MERCURY,MN27-0133-15
2008,MN,MERCURY,MN27-0133-14
2008,MN,MERCURY,MN27-0133-13
2008,MN,MERCURY,MN07030004-525
2008,MN,MERCURY,MN27-0133-12
2008,MN,MERCURY,MN27-0047-00
2008,MN,MERCURY,MN07020012-501
2008,MN,MERCURY,MN34-0086-00
2008,MN,MERCURY,MN07020012-502
2008,MN,MERCURY,MN07020006-510
2008,MN,MERCURY,MN07020012-505
2008,MN,MERCURY,MN07020012-506
2008,MN,MERCURY,MN07020012-503
2008,MN,MERCURY,MN07020012-504
2008,MN,MERCURY,MN07020006-508
2008,MN,MERCURY,MN40-0117-00
2008,MN,MERCURY,MN07020006-509
2008,MN,MERCURY,MN40-0057-00
2008,MN,MERCURY,MN13-0053-00
2008,MN,MERCURY,MN07-0044-00
2008,MN,MERCURY,MN07020006-505
2008,MN,MERCURY,MN07020006-502
2008,MN,MERCURY,MN07020006-503
2008,MN,MERCURY,MN07-0147-00
2008,MN,MERCURY,MN86-0199-00
2008,MN,MERCURY,MN10-0013-00
2008,MN,MERCURY,MN03-0576-00
2008,MN,MERCURY,MN09020305-514
2008,MN,MERCURY,MN80-0037-00
2008,MN,MERCURY,MN09020305-516
2008,MN,MERCURY,MN09020305-510
2008,MN,MERCURY,MN09020305-511
2008,MN,MERCURY,MN07020012-532
